Bench,Row,Column,Position,Plant,Inoc,Trait,Measurement
Left,5,L-B,L-B5,L-B5,Sterile + N,Tot_nod_mass,103.99
Left,5,L-D,L-D5,L-D5,Sterile + N,Tot_nod_mass,51.08
Right,2,R-A,R-A2,R-A2,Sterile + N,Tot_nod_mass,18.14
Right,2,R-B,R-B2,R-B2,Sterile + N,Tot_nod_mass,15.74
Right,5,R-D,R-D5,R-D5,Sterile + N,Tot_nod_mass,48.67
Left,4,L-B,L-B4,L-B4,717A + N,Tot_nod_mass,30.32
Left,6,L-B,L-B6,L-B6,717A + N,Tot_nod_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Tot_nod_mass,22.91
Right,4,R-B,R-B4,R-B4,717A + N,Tot_nod_mass,46.93
Right,3,R-C,R-C3,R-C3,717A + N,Tot_nod_mass,22.56
Left,2,L-A,L-A2,L-A2,733B + N,Tot_nod_mass,56.88
Left,1,L-C,L-C1,L-C1,733B + N,Tot_nod_mass,69.64
Left,2,L-C,L-C2,L-C2,733B + N,Tot_nod_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Tot_nod_mass,13.93
Right,4,R-D,R-D4,R-D4,733B + N,Tot_nod_mass,42.33
Left,6,L-A,L-A6,L-A6,141,Tot_nod_mass,23.71
Left,3,L-D,L-D3,L-D3,141,Tot_nod_mass,35.08
Right,4,R-A,R-A4,R-A4,141,Tot_nod_mass,53.78
Right,2,R-C,R-C2,R-C2,141,Tot_nod_mass,40.17
Right,3,R-D,R-D3,R-D3,141,Tot_nod_mass,0
Left,1,L-A,L-A1,L-A1,141+717A,Tot_nod_mass,28.11
Left,3,L-A,L-A3,L-A3,141+717A,Tot_nod_mass,102.39
Left,5,L-A,L-A5,L-A5,141+717A,Tot_nod_mass,125.9
Right,1,R-B,R-B1,R-B1,141+717A,Tot_nod_mass,0
Right,4,R-C,R-C4,R-C4,141+717A,Tot_nod_mass,72.19
Left,2,L-D,L-D2,L-D2,141+733B,Tot_nod_mass,73.34
Left,4,L-D,L-D4,L-D4,141+733B,Tot_nod_mass,8.89
Right,1,R-A,R-A1,R-A1,141+733B,Tot_nod_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Tot_nod_mass,33.28
Right,1,R-D,R-D1,R-D1,141+733B,Tot_nod_mass,0.24
Left,4,L-A,L-A4,L-A4,225,Tot_nod_mass,126.84
Left,1,L-B,L-B1,L-B1,225,Tot_nod_mass,141.49
Left,6,L-C,L-C6,L-C6,225,Tot_nod_mass,150.75
Left,1,L-D,L-D1,L-D1,225,Tot_nod_mass,90.89
Right,6,R-A,R-A6,R-A6,225,Tot_nod_mass,56.67
Left,3,L-B,L-B3,L-B3,225+717A,Tot_nod_mass,212.79
Left,3,L-C,L-C3,L-C3,225+717A,Tot_nod_mass,186.73
Left,4,L-C,L-C4,L-C4,225+717A,Tot_nod_mass,189.97
Right,6,R-B,R-B6,R-B6,225+717A,Tot_nod_mass,83.72
Right,5,R-C,R-C5,R-C5,225+717A,Tot_nod_mass,95.44
Left,2,L-B,L-B2,L-B2,225+733B,Tot_nod_mass,266.42
Right,3,R-A,R-A3,R-A3,225+733B,Tot_nod_mass,136.51
