Bench,Row,Column,Position,Plant,Inoc,Tot_nod_mass,Nod_num,Avg_nod_mass,Root_mass,Shoot_mass,Shoot_mass_per_root_mass,Shoot_mass_per_nod_mass,Nod_mass_per_root_mass
L,5,L-B,L-B5,L-B5,Sterile + N,103.99,32,3.2496875,80.42,32.33,0.402014424,0.310895278,1.293086297
L,5,L-D,L-D5,L-D5,Sterile + N,51.08,16,3.1925,137.73,70.41,0.5112176,1.378425998,0.370870544
R,2,R-A,R-A2,R-A2,Sterile + N,18.14,10,1.814,83.58,103.34,1.236420196,5.696802646,0.217037569
R,2,R-B,R-B2,R-B2,Sterile + N,15.74,6,2.623333333,57.84,60.78,1.050829876,3.861499365,0.272130014
R,5,R-D,R-D5,R-D5,Sterile + N,48.67,13,3.743846154,52.43,54,1.029944688,1.109513047,0.928285333
L,4,L-B,L-B4,L-B4,717A + N,30.32,10,3.032,86.73,88.39,1.019139859,2.915237467,0.349590684
L,6,L-B,L-B6,L-B6,717A + N,NA,NA,NA,NA,NA,NA,NA,NA
L,5,L-C,L-C5,L-C5,717A + N,22.91,6,3.818333333,58,80.86,1.394137931,3.529463117,0.395
R,4,R-B,R-B4,R-B4,717A + N,46.93,10,4.693,69.87,23.52,0.336625161,0.501171958,0.67167597
R,3,R-C,R-C3,R-C3,717A + N,22.56,8,2.82,55.97,69.84,1.247811327,3.095744681,0.403073075
L,2,L-A,L-A2,L-A2,733B + N,56.88,11,5.170909091,68.98,85.76,1.243258916,1.507735584,0.824586837
L,1,L-C,L-C1,L-C1,733B + N,69.64,10,6.964,70.49,95.39,1.353241595,1.369758759,0.987941552
L,2,L-C,L-C2,L-C2,733B + N,NA,NA,NA,NA,NA,NA,NA,NA
R,2,R-D,R-D2,R-D2,733B + N,13.93,2,6.965,40.21,50.29,1.250683909,3.610193826,0.346431236
R,4,R-D,R-D4,R-D4,733B + N,42.33,21,2.015714286,42.29,64.05,1.514542445,1.513111269,1.00094585
L,6,L-A,L-A6,L-A6,141,23.71,13,1.823846154,67.24,67.3,1.000892326,2.838464783,0.35261749
L,3,L-D,L-D3,L-D3,141,35.08,4,8.77,102.8,58.65,0.570525292,1.671892816,0.341245136
R,4,R-A,R-A4,R-A4,141,53.78,11,4.889090909,64.99,60.7,0.933989845,1.128672369,0.827511925
R,2,R-C,R-C2,R-C2,141,40.17,8,5.02125,62.58,66.15,1.05704698,1.646751307,0.64189837
R,3,R-D,R-D3,R-D3,141,0,0,0,5.69,12.7,2.23198594,NA,0
L,1,L-A,L-A1,L-A1,141+717A,28.11,7,4.015714286,13.91,29.01,2.085549964,1.032017076,2.020848311
L,3,L-A,L-A3,L-A3,141+717A,102.39,18,5.688333333,73.77,88.81,1.203876915,0.86736986,1.387962586
L,5,L-A,L-A5,L-A5,141+717A,125.9,33,3.815151515,40.09,75.51,1.883512098,0.599761716,3.140434023
R,1,R-B,R-B1,R-B1,141+717A,0,0,0,14.6,21.77,1.49109589,NA,0
R,4,R-C,R-C4,R-C4,141+717A,72.19,16,4.511875,65.57,28.46,0.434039957,0.394237429,1.100960805
L,2,L-D,L-D2,L-D2,141+733B,73.34,19,3.86,66.39,75.24,1.133303208,1.025906736,1.10468444
L,4,L-D,L-D4,L-D4,141+733B,8.89,5,1.778,59.49,45.89,0.77139015,5.161979753,0.14943688
R,1,R-A,R-A1,R-A1,141+733B,NA,NA,NA,NA,NA,NA,NA,NA
R,3,R-B,R-B3,R-B3,141+733B,33.28,5,6.656,60.99,67.57,1.107886539,2.030348558,0.545663224
R,1,R-D,R-D1,R-D1,141+733B,0.24,2,0.12,14.95,19.14,1.280267559,0,0.016053512
L,4,L-A,L-A4,L-A4,225,126.84,36,3.523333333,111.43,48.04,0.431122678,0.378744875,1.138293099
L,1,L-B,L-B1,L-B1,225,141.49,39,3.627948718,75.6,64.89,0.858333333,0.458618984,1.871560847
L,6,L-C,L-C6,L-C6,225,150.75,32,4.7109375,88.49,54.63,0.617357894,0.36238806,1.703582326
L,1,L-D,L-D1,L-D1,225,90.89,32,2.8403125,70.53,64.02,0.907698852,0.704367917,1.288671487
R,6,R-A,R-A6,R-A6,225,56.67,17,3.333529412,57.32,59.67,1.040997906,1.052938062,0.988660154
L,3,L-B,L-B3,L-B3,225+717A,212.79,52,4.092115385,85.12,91.95,1.080239662,0.432116171,2.499882519
L,3,L-C,L-C3,L-C3,225+717A,186.73,40,4.66825,111.58,68.95,0.617942284,0.369249719,1.673507797
L,4,L-C,L-C4,L-C4,225+717A,189.97,59,3.219830508,110.81,89.49,0.807598592,0.47107438,1.714375959
R,6,R-B,R-B6,R-B6,225+717A,83.72,43,1.946976744,81.81,46.58,0.569368048,0.556378404,1.023346779
R,5,R-C,R-C5,R-C5,225+717A,95.44,28,3.408571429,67.26,62.53,0.929675885,0.655176027,1.418971157
L,2,L-B,L-B2,L-B2,225+733B,266.42,74,3.60027027,91.44,68.35,0.747484689,0.256549809,2.913604549
R,3,R-A,R-A3,R-A3,225+733B,136.51,44,3.1025,65.78,54.28,0.825174825,0.397626548,2.075250836
R,5,R-A,R-A5,R-A5,225+733B,137.41,55,2.498363636,76.29,45.49,0.596277363,0.331053053,1.801153493
R,5,R-B,R-B5,R-B5,225+733B,131.95,50,2.639,52.79,52.19,0.988634211,0.395528609,2.499526425
R,1,R-C,R-C1,R-C1,225+733B,111.81,34,3.288529412,56.41,55.07,0.976245347,0.492531974,1.982095373
