"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - (141+717A)",-25.8037445238382,21.2561543072849,32.0327513463922,-100.214744896095,48.6072558484183,-1.2139422847055,0.365704231325196
"2","141 - (141+733B)",6.29362773808085,22.4390643322592,32.0073782149737,-72.2642147749171,84.8514702510788,0.280476389072645,0.82685328148438
"3","141 - 225",-64.0474890476762,21.6390542017346,32.1243920271955,-139.778596396433,11.6836183010804,-2.9598100014252,0.0129203704339997
"4","141 - (225+717A)",-113.815744523838,21.2561543072849,32.0327513463921,-188.226744896095,-39.4047441515818,-5.35448430033419,3.65921679480938e-05
"5","141 - (225+733B)",-135.638255476162,21.2561543072849,32.0327513463922,-210.049255848418,-61.2272551039057,-6.3811286611556,7.6634625483167e-06
"6","141 - (717A + N)",4.55112773808085,22.4390643322592,32.0073782149737,-74.0067147749171,83.1089702510788,0.202821635995668,0.864574219223252
"7","141 - (733B + N)",-10.4638722619192,22.4390643322592,32.0073782149737,-89.0217147749171,68.0939702510788,-0.466323912039234,0.748035836241961
"8","141 - (Sterile + N)",-16.9760000000001,21.126978936854,32,-90.9419128845267,56.9899128845264,-0.803522361182796,0.570135375818394
"9","(141+717A) - (141+733B)",32.097372261919,22.4390643322592,32.0073782149738,-46.460470251079,110.655214774917,1.43042382635245,0.278204583157219
"10","(141+717A) - 225",-38.2437445238381,21.2561543072849,32.0327513463922,-112.654744896094,36.1672558484183,-1.79918455478709,0.146550796715559
"11","(141+717A) - (225+717A)",-88.012,21.126978936854,32,-161.977912884527,-14.0460871154735,-4.16585827358739,0.000657855208195558
"12","(141+717A) - (225+733B)",-109.834510952324,21.6390542017346,32.1243920271955,-185.565618301081,-34.1034036035673,-5.07575377039904,6.31505291714302e-05
"13","(141+717A) - (717A + N)",30.354872261919,22.4390643322592,32.0073782149737,-48.2029702510789,108.912714774917,1.35276907327547,0.303723630392881
"14","(141+717A) - (733B + N)",15.339872261919,22.4390643322592,32.0073782149737,-63.217970251079,93.8977147749169,0.68362352524057,0.619612641427398
"15","(141+717A) - (Sterile + N)",8.82774452383801,21.2561543072849,32.0327513463922,-65.5832558484184,83.2387448960944,0.415302993957498,0.76577498986917
"16","(141+733B) - 225",-70.3411167857571,22.6817398358445,32.0643711616099,-149.735278474069,9.05304490255484,-3.10122227372502,0.0102849334942585
"17","(141+733B) - (225+717A)",-120.109372261919,22.4390643322592,32.0073782149738,-198.667214774917,-41.5515297489211,-5.35269075766432,3.65921679480938e-05
"18","(141+733B) - (225+733B)",-141.931883214243,22.6817398358445,32.0643711616098,-221.326044902555,-62.537721525931,-6.257539511583,7.6634625483167e-06
"19","(141+733B) - (717A + N)",-1.74249999999999,23.6206805310059,32,-84.4389046138144,80.9539046138144,-0.0737701014885106,0.941652530680685
"20","(141+733B) - (733B + N)",-16.7575,23.6206805310059,32,-99.4539046138144,65.9389046138144,-0.709441879881619,0.619612641427398
"21","(141+733B) - (Sterile + N)",-23.269627738081,22.4390643322592,32.0073782149738,-101.827470251079,55.2882147749169,-1.03701417285157,0.461250899999136
"22","225 - (225+717A)",-49.768255476162,21.2561543072849,32.0327513463922,-124.179255848418,24.6427448960944,-2.3413574608416,0.0511943864410744
"23","225 - (225+733B)",-71.5907664284859,22.2625908516906,32.2575205200188,-149.473975004227,6.29244214725499,-3.21574280843639,0.00818296548666958
"24","225 - (717A + N)",68.5986167857571,22.6817398358445,32.0643711616098,-10.7955449025548,147.992778474069,3.02439836107057,0.0116997563249625
"25","225 - (733B + N)",53.583616785757,22.6817398358445,32.0643711616098,-25.8105449025549,132.977778474069,2.36241210654738,0.0511943864410744
"26","225 - (Sterile + N)",47.0714890476761,21.6390542017346,32.1243920271956,-28.6596183010806,122.802596396433,2.17530251594373,0.0702501802971416
"27","(225+717A) - (225+733B)",-21.8225109523239,21.6390542017346,32.1243920271955,-97.5536183010805,53.9085963964327,-1.00847803923771,0.461896098509721
"28","(225+717A) - (717A + N)",118.366872261919,22.4390643322592,32.0073782149738,39.8090297489211,196.924714774917,5.27503600458735,4.01431475950558e-05
"29","(225+717A) - (733B + N)",103.351872261919,22.4390643322592,32.0073782149737,24.7940297489211,181.909714774917,4.60589045655244,0.000223951987674531
"30","(225+717A) - (Sterile + N)",96.839744523838,21.2561543072849,32.0327513463922,22.4287441515816,171.250744896094,4.55584500958619,0.000234831515477286
"31","(225+733B) - (717A + N)",140.189383214243,22.6817398358445,32.0643711616098,60.795221525931,219.583544902555,6.18071559892854,7.6634625483167e-06
"32","(225+733B) - (733B + N)",125.174383214243,22.6817398358445,32.0643711616098,45.780221525931,204.568544902555,5.51872934440535,3.14142852307687e-05
"33","(225+733B) - (Sterile + N)",118.662255476162,21.2561543072849,32.0327513463922,44.2512551039055,193.073255848418,5.5824893704076,3.14142852307687e-05
"34","(717A + N) - (733B + N)",-15.015,23.6206805310059,31.9999999999999,-97.7114046138145,67.6814046138144,-0.635671778393108,0.635412656992168
"35","(717A + N) - (Sterile + N)",-21.527127738081,22.4390643322592,32.0073782149738,-100.084970251079,57.0307147749169,-0.959359419774595,0.477095662631627
"36","(733B + N) - (Sterile + N)",-6.51212773808098,22.4390643322592,32.0073782149737,-85.0699702510789,72.045714774917,-0.290213871739692,0.82685328148438
