"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"141 - (141+717A)",0.605617722722046,1.1698041509727,32.2575634294026,-3.48681203917757,4.69804748462166,0.517708645689512,0.980328576033228
"141 - (141+733B)",1.05283498106103,1.2293334652096,32.0605538941368,-3.25031775611444,5.35598771823649,0.85642749575805,0.980328576033228
"141 - 225",0.715615393844087,1.21047576874896,32.7985967412898,-3.51259239960194,4.94382318729012,0.591185228419468,0.980328576033228
"141 - (225+717A)",0.744683736322046,1.1698041509727,32.2575634294026,-3.34774602557757,4.83711349822166,0.636588385930103,0.980328576033228
"141 - (225+733B)",0.964109612077963,1.1698041509727,32.2575634294026,-3.12832014982165,5.05653937397758,0.824163268078934,0.980328576033228
"141 - (717A + N)",0.565501647811025,1.2293334652096,32.0605538941368,-3.73765108936443,4.86865438498648,0.460006714056717,0.980328576033228
"141 - (733B + N)",-1.12257086318897,1.2293334652096,32.0605538941368,-5.42572360036444,3.18058187398649,-0.913154074917806,0.980328576033228
"141 - (Sterile + N)",1.17616401520001,1.15592897991233,31.9999999999999,-2.87076301986932,5.22309105026932,1.01750543124995,0.980328576033228
"(141+717A) - (141+733B)",0.447217258338979,1.2293334652096,32.0605538941368,-3.85593547883648,4.75036999551443,0.363788403224449,0.980328576033228
"(141+717A) - 225",0.109997671122041,1.1698041509727,32.2575634294027,-3.98243209077757,4.20242743302165,0.0940308435652044,0.980328576033228
"(141+717A) - (225+717A)",0.1390660136,1.15592897991232,32,-3.90786102146931,4.18599304866931,0.120306710893733,0.980328576033228
"(141+717A) - (225+733B)",0.358491889355917,1.21047576874896,32.7985967412899,-3.8697159040901,4.58669968280194,0.296157840256829,0.980328576033228
"(141+717A) - (717A + N)",-0.0401160749110206,1.2293334652096,32.0605538941368,-4.34326881208648,4.26303666226443,-0.0326323784768854,0.980328576033228
"(141+717A) - (733B + N)",-1.72818858591102,1.2293334652096,32.0605538941368,-6.03134132308648,2.57496415126443,-1.40579316745141,0.980328576033228
"(141+717A) - (Sterile + N)",0.570546292477959,1.1698041509727,32.2575634294027,-3.52188346942165,4.66297605437757,0.487728045761802,0.980328576033228
"(141+733B) - 225",-0.337219587216939,1.25530898935197,32.4765511192523,-4.72601790626848,4.0515787318346,-0.268634726650864,0.980328576033228
"(141+733B) - (225+717A)",-0.308151244738979,1.2293334652096,32.0605538941368,-4.61130398191444,3.99500149243648,-0.250665302344502,0.980328576033228
"(141+733B) - (225+733B)",-0.0887253689830619,1.25530898935197,32.4765511192523,-4.4775236880346,4.30007295006848,-0.0706801032539923,0.980328576033228
"(141+733B) - (717A + N)",-0.48733333325,1.29236788812297,31.9999999999999,-5.01193530844833,4.03726864194833,-0.377085609855101,0.980328576033228
"(141+733B) - (733B + N)",-2.17540584425,1.29236788812297,32,-6.70000781944833,2.34919613094833,-1.68327135349173,0.980328576033228
"(141+733B) - (Sterile + N)",0.12332903413898,1.2293334652096,32.0605538941368,-4.17982370303648,4.42648177131444,0.100321871672103,0.980328576033228
"225 - (225+717A)",0.0290683424779596,1.1698041509727,32.2575634294027,-4.06336141942165,4.12149810437757,0.0248488966753872,0.980328576033228
"225 - (225+733B)",0.248494218233877,1.27538280993882,32.9523132235,-4.20453113378048,4.70151957024824,0.194838927024426,0.980328576033228
"225 - (717A + N)",-0.150113746033061,1.25530898935197,32.4765511192523,-4.5389120650846,4.23868457301848,-0.119583104483745,0.980328576033228
"225 - (733B + N)",-1.83818625703306,1.25530898935197,32.4765511192523,-6.2269845760846,2.55061206201848,-1.4643297169265,0.980328576033228
"225 - (Sterile + N)",0.460548621355918,1.21047576874896,32.7985967412899,-3.7676591720901,4.68875641480194,0.380469095909206,0.980328576033228
"(225+717A) - (225+733B)",0.219425875755917,1.21047576874896,32.7985967412899,-4.00878191769011,4.44763366920194,0.181272423142097,0.980328576033228
"(225+717A) - (717A + N)",-0.179182088511021,1.2293334652096,32.0605538941368,-4.48233482568648,4.12397064866443,-0.145755479356832,0.980328576033228
"(225+717A) - (733B + N)",-1.86725459951102,1.2293334652096,32.0605538941368,-6.17040733668648,2.43589813766444,-1.51891626833136,0.980328576033228
"(225+717A) - (Sterile + N)",0.431480278877959,1.1698041509727,32.2575634294026,-3.66094948302165,4.52391004077757,0.368848305521211,0.980328576033228
"(225+733B) - (717A + N)",-0.398607964266938,1.25530898935197,32.4765511192523,-4.78740628331848,3.9901903547846,-0.317537727880617,0.980328576033228
"(225+733B) - (733B + N)",-2.08668047526694,1.25530898935197,32.4765511192523,-6.47547879431847,2.3021178437846,-1.66228434032337,0.980328576033228
"(225+733B) - (Sterile + N)",0.212054403122042,1.1698041509727,32.2575634294026,-3.88037535877757,4.30448416502165,0.18127342337238,0.980328576033228
"(717A + N) - (733B + N)",-1.688072511,1.29236788812297,31.9999999999999,-6.21267448619833,2.83652946419833,-1.30618574363663,0.980328576033228
"(717A + N) - (Sterile + N)",0.61066236738898,1.2293334652096,32.0605538941368,-3.69249036978648,4.91381510456443,0.496742653373438,0.980328576033228
"(733B + N) - (Sterile + N)",2.29873487838898,1.2293334652096,32.0605538941368,-2.00441785878648,6.60188761556444,1.86990344234796,0.980328576033228
