"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"141 - (141+717A)",-1.01064123344681,0.319230428032111,32.0742428001783,-2.12802905833148,0.106746591437864,-3.16586748850003,0.0121692377025597
"141 - (141+733B)",0.0220677338765951,0.336725522176311,32.0168453781846,-1.15675570000336,1.20089116775655,0.0655362674440826,0.977357188084934
"141 - 225",-0.79200834369362,0.325939607757412,32.2739709970555,-1.93221775347491,0.348201066087669,-2.42992359579413,0.043864588945432
"141 - (225+717A)",-1.14661693064681,0.319230428032111,32.0742428001782,-2.26400475553148,-0.0292291057621354,-3.59181591089265,0.00649750369780165
"141 - (225+733B)",-1.90841687835319,0.319230428032111,32.0742428001782,-3.02580470323786,-0.791029053468516,-5.97817974344608,3.45160506858912e-05
"141 - (717A + N)",0.0211923156265951,0.336725522176311,32.0168453781846,-1.15763111825336,1.20001574950655,0.0629364697086985,0.977357188084934
"141 - (733B + N)",-0.313949120873405,0.336725522176311,32.0168453781846,-1.49277255475336,0.864874313006547,-0.932359147724536,0.477505418731777
"141 - (Sterile + N)",-0.1836273672,0.316962477706329,32,-1.29331839703264,0.926063662632637,-0.579334716616311,0.657777792471559
"(141+717A) - (141+733B)",1.0327089673234,0.336725522176311,32.0168453781847,-0.146114466556546,2.21153240120336,3.06691622496816,0.0132106891423146
"(141+717A) - 225",0.21863288975319,0.319230428032111,32.0742428001783,-0.898754935131484,1.33602071463786,0.684874844484428,0.640726279537561
"(141+717A) - (225+717A)",-0.1359756972,0.316962477706329,32,-1.24566672703264,0.973715332632636,-0.428996195966085,0.754650448671397
"(141+717A) - (225+733B)",-0.89777564490638,0.325939607757412,32.2739709970555,-2.03798505468767,0.242433764874909,-2.75442328437288,0.0246364834853802
"(141+717A) - (717A + N)",1.0318335490734,0.336725522176311,32.0168453781847,-0.146989884806546,2.21065698295336,3.06431642723278,0.0132106891423146
"(141+717A) - (733B + N)",0.696692112573405,0.336725522176311,32.0168453781847,-0.482131321306546,1.87551554645336,2.06902080979954,0.0800523699416276
"(141+717A) - (Sterile + N)",0.82701386624681,0.319230428032111,32.0742428001783,-0.290373958637864,1.94440169113148,2.59064861499863,0.0343086280367578
"(141+733B) - 225",-0.814076077570215,0.340983555469424,32.144557332579,-2.00736042052759,0.379208265387156,-2.38743500826454,0.043864588945432
"(141+733B) - (225+717A)",-1.16868466452341,0.336725522176311,32.0168453781847,-2.34750809840336,0.0101387693565462,-3.47073383974582,0.00682729208313569
"(141+733B) - (225+733B)",-1.93048461222978,0.340983555469424,32.144557332579,-3.12376895518716,-0.737200269272414,-5.66151822064302,3.45160506858912e-05
"(141+733B) - (717A + N)",-0.000875418250000013,0.354374823234056,32,-1.24154770661376,1.23979687011376,-0.00247031728160276,0.998044310209826
"(141+733B) - (733B + N)",-0.33601685475,0.354374823234056,32,-1.57668914311376,0.904655433613761,-0.948196183023049,0.477505418731777
"(141+733B) - (Sterile + N)",-0.205695101076595,0.336725522176311,32.0168453781847,-1.38451853495655,0.973128332803356,-0.610868756686914,0.656760443638134
"225 - (225+717A)",-0.35460858695319,0.319230428032111,32.0742428001783,-1.47199641183786,0.762779237931484,-1.11082326687705,0.412353881083215
"225 - (225+733B)",-1.11640853465957,0.336824728077092,32.5382817439642,-2.29380481027845,0.0609877409593145,-3.31450882787931,0.00904379963732056
"225 - (717A + N)",0.813200659320215,0.340983555469424,32.144557332579,-0.380083683637156,2.00648500227759,2.3848676755121,0.043864588945432
"225 - (733B + N)",0.478059222820215,0.340983555469424,32.144557332579,-0.715225120137156,1.67134356577759,1.40200081544133,0.266866891817033
"225 - (Sterile + N)",0.60838097649362,0.325939607757412,32.2739709970556,-0.531828433287668,1.74859038627491,1.86654509612843,0.116302215765941
"(225+717A) - (225+733B)",-0.761799947706379,0.325939607757412,32.2739709970555,-1.90200935748767,0.378409462074909,-2.33724263506314,0.0464185581795501
"(225+717A) - (717A + N)",1.16780924627341,0.336725522176311,32.0168453781847,-0.0110141876065459,2.34663268015336,3.46813404201044,0.00682729208313569
"(225+717A) - (733B + N)",0.832667809773405,0.336725522176311,32.0168453781846,-0.346155624106546,2.01149124365336,2.4728384245772,0.0425270581647038
"(225+717A) - (Sterile + N)",0.96298956344681,0.319230428032111,32.0742428001783,-0.154398261437864,2.08037738833148,3.01659703739126,0.0137697625474758
"(225+733B) - (717A + N)",1.92960919397978,0.340983555469424,32.144557332579,0.736324851022413,3.12289353693716,5.65895088789058,3.45160506858912e-05
"(225+733B) - (733B + N)",1.59446775747978,0.340983555469424,32.144557332579,0.401183414522413,2.78775210043716,4.67608402781981,0.000362574541047385
"(225+733B) - (Sterile + N)",1.72478951115319,0.319230428032111,32.0742428001783,0.607401686268516,2.84217733603786,5.40296086994468,5.49736121394443e-05
"(717A + N) - (733B + N)",-0.3351414365,0.354374823234056,32,-1.57581372486376,0.905530851863761,-0.945725865741446,0.477505418731777
"(717A + N) - (Sterile + N)",-0.204819682826595,0.336725522176311,32.0168453781847,-1.38364311670655,0.974003751053356,-0.60826895895153,0.656760443638134
"(733B + N) - (Sterile + N)",0.130321753673405,0.336725522176311,32.0168453781846,-1.04850168020655,1.30914518755336,0.387026658481705,0.765051448509296
