"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"141 - (141+717A)",-5.74026931057338,5.37551198001313,32.0500209585633,-24.557265278087,13.0767266569402,-1.06785536557568,0.40647240557111
"141 - (141+733B)",0.379865344713316,5.67277550014369,32.011301887925,-19.4799585846401,20.2396892740667,0.0669628728835988,0.94838269004143
"141 - 225",-20.2805386211468,5.47904087808735,32.1877877003511,-39.4522304320568,-1.10884681023673,-3.70147605619369,0.00205393148895717
"141 - (225+717A)",-35.3402693105734,5.37551198001313,32.0500209585633,-54.157265278087,-16.5232733430598,-6.574307608647,1.06212858441919e-06
"141 - (225+733B)",-46.0597306894266,5.37551198001313,32.0500209585633,-64.8767266569402,-27.242734721913,-8.56843605979911,3.05890934989326e-08
"141 - (717A + N)",-0.370134655286685,5.67277550014369,32.011301887925,-20.2299585846401,19.4896892740667,-0.0652475415741923,0.94838269004143
"141 - (733B + N)",-2.87013465528669,5.67277550014369,32.0113018879249,-22.7299585846401,16.9896892740667,-0.505948923100162,0.715771952128345
"141 - (Sterile + N)",-8.19999999999998,5.34055637692386,31.9999999999999,-26.8973787833611,10.4973787833612,-1.53542054820946,0.219485506575792
"(141+717A) - (141+733B)",6.1201346552867,5.6727755001437,32.0113018879251,-13.7396892740667,25.9799585846401,1.07886071908392,0.40647240557111
"(141+717A) - 225",-14.5402693105734,5.37551198001313,32.0500209585633,-33.357265278087,4.27672665694024,-2.70490873513742,0.0205564299166296
"(141+717A) - (225+717A)",-29.6,5.34055637692387,32,-48.2973787833612,-10.9026212166388,-5.54249368621953,1.34091912096025e-05
"(141+717A) - (225+733B)",-40.3194613788532,5.47904087808736,32.1877877003511,-59.4911531897633,-21.1477695679432,-7.35885390819133,1.58297526542003e-07
"(141+717A) - (717A + N)",5.3701346552867,5.6727755001437,32.0113018879251,-14.4896892740667,25.2299585846401,0.946650304626133,0.455764621107544
"(141+717A) - (733B + N)",2.8701346552867,5.6727755001437,32.011301887925,-16.9896892740667,22.7299585846401,0.505948923100163,0.715771952128345
"(141+717A) - (Sterile + N)",-2.4597306894266,5.37551198001313,32.0500209585633,-21.2767266569402,16.357265278087,-0.457580728788664,0.731633275293996
"(141+733B) - 225",-20.6604039658601,5.73842793274915,32.0979383540069,-40.7449721711979,-0.575835760522281,-3.60035957721999,0.00253727125980484
"(141+733B) - (225+717A)",-35.7201346552867,5.6727755001437,32.0113018879252,-55.5799585846401,-15.8603107259333,-6.2967650763514,2.07126380631585e-06
"(141+733B) - (225+733B)",-46.4395960341399,5.73842793274915,32.0979383540068,-66.5241642394777,-26.3550278288021,-8.09273839078986,5.10734363076115e-08
"(141+733B) - (717A + N)",-0.75,5.97092354823588,31.9999999999999,-21.654304980329,20.154304980329,-0.125608709262672,0.94838269004143
"(141+733B) - (733B + N)",-3.25,5.97092354823588,31.9999999999999,-24.154304980329,17.654304980329,-0.544304406804911,0.715771952128345
"(141+733B) - (Sterile + N)",-8.5798653447133,5.6727755001437,32.0113018879251,-28.4396892740667,11.2799585846401,-1.51246340428878,0.219485506575792
"225 - (225+717A)",-15.0597306894266,5.37551198001313,32.0500209585634,-33.8767266569402,3.75726527808704,-2.80154350793388,0.0171071704565966
"225 - (225+733B)",-25.7791920682798,5.64737302686522,32.3809556183667,-45.528878470236,-6.02950566632364,-4.56481127519736,0.000189699410141605
"225 - (717A + N)",19.9104039658601,5.73842793274915,32.0979383540068,-0.174164239477722,39.9949721711979,3.46966176088605,0.00339216833302512
"225 - (733B + N)",17.4104039658601,5.73842793274915,32.0979383540068,-2.67416423947773,37.4949721711979,3.03400237310625,0.0100661042987438
"225 - (Sterile + N)",12.0805386211468,5.47904087808736,32.1877877003511,-7.09115318976327,31.2522304320569,2.20486375078185,0.0625073908843949
"(225+717A) - (225+733B)",-10.7194613788532,5.47904087808736,32.1877877003511,-29.8911531897633,8.45223043205685,-1.95644851304617,0.101375375007619
"(225+717A) - (717A + N)",34.9701346552867,5.6727755001437,32.0113018879251,15.1103107259333,54.8299585846401,6.16455466189361,2.69477106236723e-06
"(225+717A) - (733B + N)",32.4701346552867,5.6727755001437,32.0113018879251,12.6103107259333,52.3299585846401,5.72385328036764,8.69390643920202e-06
"(225+717A) - (Sterile + N)",27.1402693105734,5.37551198001313,32.0500209585633,8.32327334305976,45.957265278087,5.04887151428264,5.15181309327508e-05
"(225+733B) - (717A + N)",45.6895960341399,5.73842793274915,32.0979383540068,25.6050278288021,65.7741642394777,7.96204057445592,5.10734363076115e-08
"(225+733B) - (733B + N)",43.1895960341399,5.73842793274915,32.0979383540068,23.1050278288021,63.2741642394777,7.52638118667612,1.26428568457756e-07
"(225+733B) - (Sterile + N)",37.8597306894266,5.37551198001313,32.0500209585633,19.042734721913,56.6767266569403,7.04299996543476,3.27781407564135e-07
"(717A + N) - (733B + N)",-2.5,5.97092354823588,32,-23.404304980329,18.404304980329,-0.418695697542239,0.739893299104706
"(717A + N) - (Sterile + N)",-7.8298653447133,5.6727755001437,32.0113018879251,-27.6896892740667,12.0299585846401,-1.38025298983098,0.265608486239123
"(733B + N) - (Sterile + N)",-5.3298653447133,5.6727755001437,32.011301887925,-25.1896892740667,14.5299585846401,-0.939551608305015,0.455764621107544
