"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"141 - (141+717A)",24.0088202947467,12.9726943220356,32.0424573543649,-21.4031422680182,69.4207828575115,1.85071964996237,0.224598256898595
"141 - (141+733B)",12.6734101473734,13.6920746533382,32.0095805418665,-35.2614265186149,60.6082468133617,0.925601887825196,0.542368640386917
"141 - 225",-10.1403594105068,13.2154527060401,32.1602161130035,-56.3862081509008,36.1054893298872,-0.767310786551574,0.576634764558524
"141 - (225+717A)",-25.7191797052533,12.9726943220356,32.0424573543649,-71.1311422680182,19.6927828575115,-1.98256268642408,0.201763804055669
"141 - (225+733B)",-12.8188202947465,12.9726943220356,32.0424573543649,-58.2307828575113,32.5931422680184,-0.988138622288523,0.526339656532259
"141 - (717A + N)",-4.51408985262664,13.6920746533382,32.0095805418666,-52.4489265186149,43.4207468133616,-0.329686330736305,0.782773274022935
"141 - (733B + N)",7.63591014737337,13.6920746533382,32.0095805418665,-40.2989265186149,55.5707468133617,0.557688322675898,0.674636355568703
"141 - (Sterile + N)",-21.7399999999999,12.8907589854945,32.0000000000001,-66.8707666366466,23.3907666366469,-1.68647944038541,0.280745618130228
"(141+717A) - (141+733B)",-11.3354101473733,13.6920746533382,32.0095805418666,-59.2702468133616,36.599426518615,-0.8278811235235,0.551823794328052
"(141+717A) - 225",-34.1491797052535,12.9726943220356,32.042457354365,-79.5611422680183,11.2627828575114,-2.63238914426952,0.0931441395604623
"(141+717A) - (225+717A)",-49.728,12.8907589854945,32,-94.8587666366467,-4.59723336335325,-3.85764717624131,0.0187758880730845
"(141+717A) - (225+733B)",-36.8276405894931,13.2154527060402,32.1602161130034,-83.0734893298871,9.41820815090092,-2.78671048269583,0.0797411712631955
"(141+717A) - (717A + N)",-28.5229101473733,13.6920746533382,32.0095805418665,-76.4577468133616,19.411926518615,-2.083169342085,0.181226707254858
"(141+717A) - (733B + N)",-16.3729101473733,13.6920746533382,32.0095805418666,-64.3077468133616,31.561926518615,-1.1957946886728,0.414533372153104
"(141+717A) - (Sterile + N)",-45.7488202947465,12.9726943220356,32.0424573543649,-91.1607828575114,-0.336857731981638,-3.52654731230634,0.0233018498629303
"(141+733B) - 225",-22.8137695578802,13.8459802763952,32.0832697780407,-71.2769482463514,25.6494091305911,-1.64768178940521,0.280745618130228
"(141+733B) - (225+717A)",-38.3925898526267,13.6920746533382,32.0095805418666,-86.327426518615,9.54224681336158,-2.80400091473839,0.0797411712631955
"(141+733B) - (225+733B)",-25.4922304421198,13.8459802763952,32.0832697780407,-73.9554091305911,22.9709482463514,-1.84112861157106,0.224598256898595
"(141+733B) - (717A + N)",-17.1875,14.4123066865659,31.9999999999999,-67.6452310381109,33.2702310381109,-1.19255719252914,0.414533372153104
"(141+733B) - (733B + N)",-5.0375,14.4123066865659,32,-55.4952310381108,45.4202310381108,-0.349527671701268,0.782773274022935
"(141+733B) - (Sterile + N)",-34.4134101473733,13.6920746533382,32.0095805418665,-82.3482468133616,13.5214265186151,-2.51338172035039,0.103116118993917
"225 - (225+717A)",-15.5788202947465,12.9726943220356,32.042457354365,-60.9907828575114,29.8331422680183,-1.20089319211693,0.414533372153104
"225 - (225+733B)",-2.67846088423965,13.6104314398894,32.3280032262822,-50.2833664822525,44.9264447137732,-0.196794708240447,0.845220202253722
"225 - (717A + N)",5.62626955788016,13.8459802763952,32.0832697780407,-42.8369091305911,54.0894482463514,0.406346784089522,0.773083845132015
"225 - (733B + N)",17.7762695578802,13.8459802763952,32.0832697780407,-30.6869091305911,66.2394482463514,1.28385778421087,0.414533372153104
"225 - (Sterile + N)",-11.5996405894931,13.2154527060402,32.1602161130034,-57.8454893298871,34.6462081509009,-0.877733124056465,0.551823794328052
"(225+717A) - (225+733B)",12.9003594105069,13.2154527060401,32.1602161130035,-33.3454893298871,59.1462081509009,0.976157207585538,0.526339656532259
"(225+717A) - (717A + N)",21.2050898526267,13.6920746533382,32.0095805418665,-26.7297468133616,69.139926518615,1.54871269617689,0.315077432644105
"(225+717A) - (733B + N)",33.3550898526267,13.6920746533382,32.0095805418666,-14.5797468133616,81.289926518615,2.43608734958909,0.105902068100634
"(225+717A) - (Sterile + N)",3.97917970525346,12.9726943220356,32.042457354365,-41.4327828575114,49.3911422680183,0.306735024080106,0.782773274022935
"(225+733B) - (717A + N)",8.30473044211981,13.8459802763952,32.0832697780407,-40.1584482463514,56.7679091305911,0.599793606255369,0.663428040717915
"(225+733B) - (733B + N)",20.4547304421198,13.8459802763952,32.0832697780407,-28.0084482463514,68.9179091305911,1.47730460637672,0.336023854149604
"(225+733B) - (Sterile + N)",-8.92117970525343,12.9726943220356,32.042457354365,-54.3331422680183,36.4907828575114,-0.687689040055447,0.616465019747823
"(717A + N) - (733B + N)",12.15,14.4123066865659,32,-38.3077310381108,62.6077310381109,0.843029520827872,0.551823794328052
"(717A + N) - (Sterile + N)",-17.2259101473732,13.6920746533382,32.0095805418665,-65.1607468133616,30.7089265186151,-1.25809350178889,0.414533372153104
"(733B + N) - (Sterile + N)",-29.3759101473733,13.6920746533382,32.0095805418666,-77.3107468133615,18.558926518615,-2.1454681552011,0.178211104189397
