"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"141 - (141+717A)",7.68330240032512,12.8177335980576,32.0808946610587,-37.1811576136446,52.5477624142949,0.59942753073675,0.854569779202498
"141 - (141+733B)",2.78765120016258,13.518441536061,32.0183762050656,-44.5380873717397,50.1133897720648,0.20621098909415,0.914107375515518
"141 - 225",1.44060480065023,13.0933338467258,32.2970553481157,-44.3597440323743,47.2409536336747,0.110025820582775,0.948597478209793
"141 - (225+717A)",-15.5046975996749,12.8177335980575,32.0808946610587,-60.3691576136446,29.3597624142949,-1.20962863528577,0.827386177834228
"141 - (225+733B)",-5.2713024003251,12.8177335980575,32.0808946610587,-50.1357624142949,39.5931576136447,-0.411250737893627,0.854569779202498
"141 - (717A + N)",-10.9048487998374,13.518441536061,32.0183762050656,-58.2305873717397,36.4208897720648,-0.806664641833771,0.833983154846268
"141 - (733B + N)",-19.1248487998374,13.518441536061,32.0183762050656,-66.4505873717397,28.2008897720648,-1.41472289899846,0.782043344325833
"141 - (Sterile + N)",-11.072,12.7245404257715,32.0000000000001,-55.6208326296594,33.4768326296594,-0.870129657301843,0.827386177834228
"(141+717A) - (141+733B)",-4.89565120016254,13.518441536061,32.0183762050656,-52.2213897720649,42.4300873717398,-0.362146123656576,0.854569779202498
"(141+717A) - 225",-6.2426975996749,12.8177335980576,32.0808946610586,-51.1071576136447,38.6217624142949,-0.487035992121176,0.854569779202498
"(141+717A) - (225+717A)",-23.188,12.7245404257715,32,-67.7368326296594,21.3608326296594,-1.82230549977557,0.782043344325833
"(141+717A) - (225+733B)",-12.9546048006502,13.0933338467258,32.2970553481157,-58.7549536336747,32.8457440323743,-0.989404604839412,0.827386177834228
"(141+717A) - (717A + N)",-18.5881512001626,13.518441536061,32.0183762050656,-65.9138897720649,28.7375873717398,-1.3750217545845,0.782043344325833
"(141+717A) - (733B + N)",-26.8081512001626,13.518441536061,32.0183762050656,-74.1338897720649,20.5175873717398,-1.98308001174918,0.782043344325833
"(141+717A) - (Sterile + N)",-18.7553024003251,12.8177335980576,32.0808946610586,-63.6197624142949,26.1091576136447,-1.46323078544614,0.782043344325833
"(141+733B) - 225",-1.34704639951235,13.6933922988886,32.1572622344258,-49.2657977710963,46.5717049720716,-0.0983720008972274,0.948597478209793
"(141+733B) - (225+717A)",-18.2923487998375,13.518441536061,32.0183762050656,-65.6180873717398,29.0333897720649,-1.35314035653014,0.782043344325833
"(141+733B) - (225+733B)",-8.05895360048768,13.6933922988886,32.1572622344259,-55.9777049720716,39.8597977710962,-0.588528643931554,0.854569779202498
"(141+733B) - (717A + N)",-13.6925,14.2264686872346,32,-63.4996090390896,36.1146090390896,-0.962466533405179,0.827386177834228
"(141+733B) - (733B + N)",-21.9125,14.2264686872346,32.0000000000001,-71.7196090390896,27.8946090390896,-1.54026276525404,0.782043344325833
"(141+733B) - (Sterile + N)",-13.8596512001626,13.518441536061,32.0183762050655,-61.1853897720649,33.4660873717397,-1.02524031066683,0.827386177834228
"225 - (225+717A)",-16.9453024003251,12.8177335980576,32.0808946610586,-61.8097624142949,27.9191576136447,-1.32202017390134,0.782043344325833
"225 - (225+733B)",-6.71190720097532,13.5402074925097,32.5780627263347,-54.0373843175404,40.6135699155897,-0.495701945829727,0.854569779202498
"225 - (717A + N)",-12.3454536004877,13.6933922988886,32.1572622344258,-60.2642049720716,35.5732977710963,-0.901562836368143,0.827386177834228
"225 - (733B + N)",-20.5654536004877,13.6933922988886,32.1572622344259,-68.4842049720716,27.3532977710962,-1.50185236438139,0.782043344325833
"225 - (Sterile + N)",-12.5126048006502,13.0933338467258,32.2970553481157,-58.3129536336747,33.2877440323743,-0.955646968688515,0.827386177834228
"(225+717A) - (225+733B)",10.2333951993498,13.0933338467258,32.2970553481157,-35.5669536336747,56.0337440323743,0.781572922461518,0.833983154846268
"(225+717A) - (717A + N)",4.59984879983744,13.518441536061,32.0183762050656,-42.7258897720649,51.9255873717398,0.340264725602219,0.854569779202498
"(225+717A) - (733B + N)",-3.62015120016255,13.518441536061,32.0183762050656,-50.9458897720649,43.7055873717398,-0.267793531562469,0.889397874591819
"(225+717A) - (Sterile + N)",4.43269759967488,12.8177335980576,32.0808946610586,-40.4317624142949,49.2971576136447,0.345825380576378,0.854569779202498
"(225+733B) - (717A + N)",-5.63354639951233,13.6933922988886,32.1572622344258,-53.5522977710962,42.2852049720716,-0.411406193333816,0.854569779202498
"(225+733B) - (733B + N)",-13.8535463995123,13.6933922988886,32.1572622344259,-61.7722977710962,34.0652049720716,-1.01169572134706,0.827386177834228
"(225+733B) - (Sterile + N)",-5.8006975996749,12.8177335980576,32.0808946610586,-50.6651576136447,39.0637624142949,-0.452552516815762,0.854569779202498
"(717A + N) - (733B + N)",-8.22,14.2264686872346,32.0000000000001,-58.0271090390896,41.5871090390896,-0.577796231848864,0.854569779202498
"(717A + N) - (Sterile + N)",-0.167151200162563,13.518441536061,32.0183762050656,-47.4928897720649,47.1585873717397,-0.0123646797389092,0.990211388454969
"(733B + N) - (Sterile + N)",8.05284879983744,13.518441536061,32.0183762050656,-39.2728897720649,55.3785873717397,0.595693577425779,0.854569779202498
