"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"141 - (141+717A)",1.0980987985,0.889003953208785,30.6825297432689,-2.02693641363704,4.22313401063704,1.23520125477115,0.407035315505283
"141 - (141+733B)",-0.233113442999998,0.863865138117181,30.0000000000004,-3.27659250367197,2.81036561767198,-0.269849346517299,0.958805178131374
"141 - 225",1.23003373915,0.857374103878081,30.9124861209249,-1.78161098095033,4.24167845925034,1.43465231056817,0.3058607936951
"141 - (225+717A)",1.32464637855,0.823824670353746,30.1471002272214,-1.57633918485256,4.22563194195256,1.60792268818705,0.266121840166907
"141 - (225+733B)",1.44678732015,0.857374103878081,30.9124861209249,-1.56485739995033,4.45843204025034,1.68746328307081,0.261208461167666
"141 - (717A + N)",-0.688958986999997,0.863865138117181,30.0000000000004,-3.73243804767197,2.35452007367198,-0.797530721637411,0.713919846818925
"141 - (733B + N)",-0.178754540749997,0.863865138117181,30.0000000000003,-3.22223360142197,2.86472451992198,-0.206924128388371,0.958805178131374
"141 - (Sterile + N)",-0.649981948049997,0.823824670353745,30.1471002272215,-3.55096751145255,2.25100361535256,-0.788980922082486,0.713919846818925
"(141+717A) - (141+733B)",-1.3312122415,0.889003953208784,30.6825297432686,-4.45624745363704,1.79382297063704,-1.49741993463033,0.3058607936951
"(141+717A) - 225",0.131934940649999,0.820609091618816,30.0377678197348,-2.75878252790076,3.02265240920076,0.160776844903986,0.958805178131374
"(141+717A) - (225+717A)",0.226547580049999,0.829156256610767,30.3157790536527,-2.6915840070016,3.1446791671016,0.273226642437733,0.958805178131374
"(141+717A) - (225+733B)",0.34868852165,0.940697364026966,29.145579956653,-2.97529753298918,3.67267457628918,0.370670244208321,0.951418202439627
"(141+717A) - (717A + N)",-1.7870577855,0.889003953208784,30.6825297432686,-4.91209299763704,1.33797742663704,-2.01017979621999,0.223475901556096
"(141+717A) - (733B + N)",-1.27685333925,0.889003953208784,30.6825297432686,-4.40188855138704,1.84818187288704,-1.43627408476791,0.3058607936951
"(141+717A) - (Sterile + N)",-1.74808074655,0.870634355526698,30.9986937175981,-4.80547382224701,1.30931232914701,-2.00782422087224,0.223475901556096
"(141+733B) - 225",1.46314718215,0.85737410387808,30.9124861209246,-1.54849753795033,4.47479190225033,1.70654464081885,0.261208461167666
"(141+733B) - (225+717A)",1.55775982155,0.823824670353744,30.1471002272211,-1.34322574185255,4.45874538495255,1.89088756091889,0.223475901556096
"(141+733B) - (225+733B)",1.67990076315,0.85737410387808,30.9124861209246,-1.33174395695033,4.69154548325033,1.95935561332149,0.223475901556096
"(141+733B) - (717A + N)",-0.455845544,0.86386513811718,30,-3.49932460467197,2.58763351667198,-0.527681375120113,0.853651133011732
"(141+733B) - (733B + N)",0.0543589022500002,0.86386513811718,30,-2.98912015842197,3.09783796292198,0.0629252181289282,0.962576367493482
"(141+733B) - (Sterile + N)",-0.41686850505,0.823824670353744,30.1471002272211,-3.31785406845255,2.48411705835255,-0.506016049350646,0.853651133011732
"225 - (225+717A)",0.0946126393999998,0.790703493568869,30.5750607341342,-2.6858375780531,2.8750628568531,0.119656280982094,0.958805178131374
"225 - (225+733B)",0.216753581,0.922401800091023,26.7319386656581,-3.07343731913069,3.50694448113069,0.234988245880061,0.958805178131374
"225 - (717A + N)",-1.91899272615,0.85737410387808,30.9124861209246,-4.93063744625033,1.09265199395033,-2.23822100232559,0.198378789553484
"225 - (733B + N)",-1.4087882799,0.85737410387808,30.9124861209246,-4.42043300000033,1.60285644020033,-1.64314302651288,0.265171444197601
"225 - (Sterile + N)",-1.8800156872,0.842506329066995,30.8212284880405,-4.84029095396665,1.08025957956665,-2.23145586251199,0.198378789553484
"(225+717A) - (225+733B)",0.1221409416,0.842506329066995,30.8212284880405,-2.83813432516665,3.08241620836665,0.144973322319443,0.958805178131374
"(225+717A) - (717A + N)",-2.01360536555,0.823824670353744,30.147100227221,-4.91459092895255,0.887380197852556,-2.44421590905426,0.185207351233197
"(225+717A) - (733B + N)",-1.5034009193,0.823824670353744,30.147100227221,-4.40438648270255,1.39758464410256,-1.82490397945287,0.233818440603698
"(225+717A) - (Sterile + N)",-1.9746283266,0.79070349356887,30.5750607341342,-4.7550785440531,0.8058218908531,-2.49730568115671,0.185207351233197
"(225+733B) - (717A + N)",-2.13574630715,0.85737410387808,30.9124861209246,-5.14739102725033,0.875898412950334,-2.49103197482823,0.185207351233197
"(225+733B) - (733B + N)",-1.6255418609,0.85737410387808,30.9124861209246,-4.63718658100033,1.38610285920033,-1.89595399901553,0.223475901556096
"(225+733B) - (Sterile + N)",-2.0967692682,0.790703493568869,30.5750607341342,-4.8772194856531,0.683680949253097,-2.65177691164125,0.185207351233197
"(717A + N) - (733B + N)",0.51020444625,0.86386513811718,30,-2.53327461442198,3.55368350692198,0.590606593249041,0.853651133011732
"(717A + N) - (Sterile + N)",0.0389770389499999,0.823824670353744,30.147100227221,-2.86200852445256,2.93996260235255,0.0473122987847202,0.962576367493482
"(733B + N) - (Sterile + N)",-0.4712274073,0.823824670353744,30.147100227221,-3.37221297070255,2.42975815610255,-0.571999630816663,0.853651133011732
